SRR2138382_Normal	SRR915775_Normal	SRR915787	SRR915784	SRR2138381_Normal
ENSG00000105963	3.0466	1.06779	0.959718	0.538926	1.10717
ENSG00000161835	29.3472	3.08031	3.84784	2.31414	23.1828
ENSG00000112164	1.29408	0.0372524	0.0270373	0.0534458	2.24532
ENSG00000156515	96.5282	4.35223	3.60025	2.62779	128.136
ENSG00000188738	1.50973	3.46186	2.66475	5.15589	1.59321
ENSG00000112200	4.69442	4.02439	1.05545	4.02308	4.70309
ENSG00000165424	14.1592	4.54842	1.63321	3.35208	13.2554
ENSG00000121766	20.4112	6.02088	2.56801	2.70826	17.534
ENSG00000257923	26.3531	11.2716	8.86166	12.1583	24.0576
ENSG00000143158	113.198	15.7682	7.99619	4.64242	117.644
ENSG00000162755	4.41259	0.212203	0.506128	0.635675	4.2718
ENSG00000149573	6.07311	0.745219	0.645089	0.980582	2.36491
ENSG00000164089	13.2302	3.13991	0.740466	0.823672	13.9132
ENSG00000173065	5.00179	1.49263	0.482551	0.503487	4.37399
ENSG00000177119	6.93141	13.641	2.58355	6.17371	7.35881
ENSG00000177879	54.8411	5.33844	1.26324	4.08676	67.2338
ENSG00000122873	133.821	8.93428	6.66308	5.33131	130.9
ENSG00000129667	4.82993	3.86522	1.00554	4.6006	3.52775
ENSG00000205571	13.8581	0.642972	0.254718	0.47027	48.1055
ENSG00000116670	18.4073	7.14318	2.14817	2.26629	16.4786
ENSG00000117262	6.43535	2.81996	1.46823	1.20307	6.34596
ENSG00000280006	8.62155	6.56022	6.50847	8.73358	7.50864
ENSG00000101199	17.9642	2.93183	1.66963	5.01624	21.0142
ENSG00000089154	14.3344	4.08606	1.95509	3.98212	14.688
ENSG00000102390	12.4586	3.08407	0.282701	0.907561	15.4027
ENSG00000131471	18.3435	0.969446	0.549074	2.8734	12.8039
ENSG00000122565	35.4481	4.38155	1.32164	3.26046	45.1036
ENSG00000135473	28.2831	3.58663	2.89961	4.48425	28.7635
ENSG00000144674	42.495	8.68091	5.75154	7.41515	43.1525
ENSG00000101210	387.088	69.791	43.3781	12.8837	276.198
ENSG00000162772	37.7204	1.21123	0.297743	4.02792	16.3082
ENSG00000178922	20.018	1.70781	0.84838	1.13108	26.5141
ENSG00000198561	20.9712	10.0679	7.29765	10.7598	25.9663
ENSG00000170222	2.81108	1.87721	0.491085	0.740906	3.12335
ENSG00000137962	3.67436	3.1702	1.4253	2.72779	4.20232
ENSG00000126432	332.9	30.3949	10.7469	17.7504	362.441
ENSG00000113811	94.8092	18.166	5.79461	8.11063	101.984
ENSG00000172340	40.6301	4.43101	2.19116	3.97313	32.8181
ENSG00000180098	12.3808	6.14994	2.32332	3.78353	10.8474
ENSG00000130589	4.64498	0.780708	0.729529	1.79475	6.66779
ENSG00000104643	2.00354	2.65487	1.45683	1.45642	2.71154
ENSG00000122417	5.67539	2.03325	1.38613	4.46442	6.77382
ENSG00000086062	11.4634	3.0831	1.08677	3.03748	21.0518
ENSG00000185236	72.2797	7.2147	6.84192	4.91404	76.5105
ENSG00000085491	3.00251	1.83235	0.519986	0.692687	3.16972
ENSG00000146147	84.6125	35.3067	18.2046	13.4117	111.757
ENSG00000106560	2.0838	2.30109	0.556538	2.55242	1.84893
ENSG00000130758	12.0285	0.537647	0.392004	0.828864	10.8375
ENSG00000115368	6.62304	1.87755	0.469521	1.44765	6.18554
ENSG00000095303	1.76694	1.084	0.112118	1.67409	1.31212
ENSG00000115514	19.2818	3.56066	0.62161	2.49468	21.0056
ENSG00000244187	80.6405	8.24732	5.02097	3.83018	60.8073
ENSG00000138495	192.754	21.7799	13.1213	8.76773	207.018
ENSG00000178913	43.5262	21.8417	5.9093	7.26711	52.4581
ENSG00000272333	6.18896	1.68868	0.393531	0.529573	7.81807
ENSG00000180573	8.54205	2.72599	1.16828	3.98704	9.29652
ENSG00000111412	4.76835	3.34661	0.410057	1.59811	4.71055
ENSG00000156508	1786.66	152.74	33.8673	194.762	1519.05
ENSG00000126870	10.4824	0.577462	1.16124	0.913513	13.5687
ENSG00000188811	3.5609	1.5174	0.823279	1.72399	4.35614
ENSG00000063180	11.4283	0.049528	0	0.197717	11.6737
ENSG00000041982	1.15268	66.2878	4.05496	3.80792	6.08484
ENSG00000111052	2.05277	3.39457	0.888647	0.88819	1.43318
ENSG00000071991	4.20239	2.46896	1.25284	1.04703	3.0056
ENSG00000121067	37.2565	23.076	3.57714	10.0819	30.6363
ENSG00000128294	15.4409	4.53754	1.61161	2.8182	9.05064
ENSG00000160789	178.102	27.2258	5.61697	27.3168	199.678
ENSG00000144857	8.9145	1.13505	0.953215	5.17934	13.0286
ENSG00000078687	2.01294	0.964494	2.70955	1.99108	2.41658
ENSG00000251247	1.3272	1.75757	0.824672	2.06509	0.877631
ENSG00000255767	1.91558	0	7.97129e-06	2.67814e-06	4.91157
ENSG00000077092	6.63564	2.88016	2.59905	2.14104	6.77407
ENSG00000080371	28.7777	6.48056	4.47541	3.29048	25.5939
ENSG00000151779	15.8394	2.72479	1.806	3.38051	12.5706
ENSG00000001461	4.9914	1.9704	1.73395	2.62614	4.05097
ENSG00000197070	13.9137	3.31207	1.04576	1.71765	16.9344
ENSG00000135837	2.22634	1.52969	1.93549	1.85414	2.0379
ENSG00000151632	30.9255	6.91643	0.975105	2.43119	20.2787
ENSG00000091986	198.707	13.7442	7.85215	42.765	175.124
ENSG00000152763	3.2711	1.08142	1.08608	0.95671	5.3899
ENSG00000162032	25.4482	2.79492	2.21832	2.34832	26.7995
ENSG00000171155	12.0081	1.02877	0.665459	1.21648	13.8803
ENSG00000104517	20.9082	3.19583	2.90447	4.0546	23.2123
ENSG00000067334	18.8273	5.1237	0.691282	0.990964	22.6888
ENSG00000167037	10.1487	0.486077	0.149384	0.27306	12.8524
ENSG00000167232	5.69159	7.42116	8.6296	6.02416	7.22185
ENSG00000106290	13.848	0.997112	1.61929	2.40621	16.0503
ENSG00000196235	26.6506	2.11175	1.99683	2.0927	32.4777
ENSG00000197299	9.3364	0.827846	0.0514576	0.184014	4.37235
ENSG00000173786	13.5886	5.7219	2.29367	4.77852	14.3959
ENSG00000183020	27.3991	8.44251	2.67003	7.95055	29.6179
ENSG00000100139	4.76277	2.16607	1.42458	1.31157	4.92227
ENSG00000153037	57.6635	5.15122	0.946932	1.75538	68.7284
ENSG00000221926	15.4741	4.61896	1.62147	3.22977	5.97512
ENSG00000158769	8.05532	2.60415	0.939852	1.77036	5.91651
ENSG00000100722	18.4921	9.55785	2.60913	4.0967	19.7126
ENSG00000105127	6.76705	1.74578	0.498773	1.38667	10.1214
ENSG00000132109	6.04729	2.22503	0.381341	1.55418	7.84896
ENSG00000138623	1.48139	2.39048	0.148795	0.621493	1.68798
ENSG00000100596	2.28541	6.94395	0.82231	3.81643	2.74106
ENSG00000170540	12.1474	6.99253	3.18518	7.46493	8.44151
ENSG00000065559	7.01858	6.32168	1.29305	4.07084	6.82709
ENSG00000066185	0.717094	0.152378	0.138547	0.270471	0.837484
ENSG00000122176	33.9124	2.69171	1.15856	15.8394	29.2631
ENSG00000198805	10.2675	7.80368	0.951189	3.0313	16.2485
ENSG00000159882	0.907225	0.900395	0.298347	0.933806	1.15902
ENSG00000106211	1960.08	131.871	37.7836	27.2441	754.592
ENSG00000183049	3.23107	0.637637	0.2392	1.42218	10.5062
ENSG00000119929	24.1965	2.53456	1.50479	1.9719	31.9805
ENSG00000010319	4.88626	0.268723	0.616669	0.45184	5.7054
ENSG00000148180	1125.46	39.81	39.2951	36.9177	547.566
ENSG00000184164	18.2199	3.78756	1.49817	2.59597	16.8668
ENSG00000204564	53.3835	2.61602	1.15197	0.995162	53.4543
ENSG00000113643	20.8856	6.13382	1.32059	3.48489	19.473
ENSG00000124743	21.1658	3.97196	5.80062	2.92115	18.5294
ENSG00000127774	51.9808	4.9035	1.05719	1.54029	47.6258
ENSG00000171466	2.17238	6.72141	1.47787	3.14331	2.15067
ENSG00000186522	12.8167	3.95547	1.87362	3.8571	11.0584
ENSG00000114107	9.45729	1.92624	1.222	1.7669	6.96412
ENSG00000062716	63.7276	30.6229	7.78764	21.9094	75.0699
ENSG00000089101	0.152782	1.12989	2.20186	2.50368	0.320225
ENSG00000137285	17.4772	1.55053	0.304524	0.521327	7.51793
ENSG00000083828	2.30942	2.15522	1.51179	1.55421	2.60854
ENSG00000100220	30.2267	6.67893	2.20965	3.41849	32.5376
ENSG00000080845	16.8984	3.65745	1.81531	3.51004	19.9451
ENSG00000174804	6.85397	3.36999	2.82946	5.21428	4.01912
ENSG00000254996	6.34134	1.30917	0.690728	1.71339	5.12516
ENSG00000166913	44.7204	13.5551	3.25364	8.40707	51.4957
ENSG00000111785	6.67352	1.4385	0.902339	2.01247	4.69091
ENSG00000160746	7.44527	4.22273	1.08532	3.06859	7.89787
ENSG00000166313	41.1645	3.95981	2.24384	2.84003	35.0888
ENSG00000116741	29.5099	9.63036	0.977926	9.20403	33.8604
ENSG00000138829	1.75077	1.58519	0.507384	0.767698	2.16056
ENSG00000120341	2.21176	0.311017	0.166171	0.905296	2.17427
ENSG00000158714	0.851135	3.19453	0	1.41116	1.02237
ENSG00000256043	6.31385	0.633751	0.269784	2.22447	6.83561
ENSG00000001629	2.57911	6.78889	4.28942	5.84275	1.88073
ENSG00000124172	212.182	1.89726	0.544409	0.896512	244.035
ENSG00000241837	677.117	71.135	29.8886	29.7423	737.045
ENSG00000125484	1.41157	1.22901	0.336134	0.905308	1.46402
ENSG00000166783	7.48589	1.59199	1.46028	2.61301	8.13885
ENSG00000174373	5.13249	4.73009	2.13875	3.78298	5.10706
ENSG00000122406	511.497	123.134	21.3696	41.528	496.576
ENSG00000164919	1097.66	115.436	65.9699	44.2068	1350.25
ENSG00000099804	64.4398	7.27289	3.84443	2.79418	67.3648
