SRR2138382_Normal	SRR915775_Normal	SRR915787	SRR915784	SRR2138381_Normal
ENSG00000225302	0.544466	2.04831	0.100623	0.30446	0.651975
ENSG00000225313	4.91668	4.08069	1.70225	3.84912	4.67368
ENSG00000225377	7.3379	0.26414	1.18905	0.950805	9.74581
ENSG00000225439	2.06148	0.30422	0.300423	0.204648	1.51329
ENSG00000225470	15.7294	2.86232	1.43253	1.25487	29.7262
ENSG00000225484	7.73963	2.41015	1.12705	3.44923	10.0149
ENSG00000225733	17.4174	6.66241	2.85968	5.1633	15.7571
ENSG00000225855	10.3725	2.36029	0.637894	1.52304	11.525
ENSG00000225889	0.887034	1.92672	0.991326	2.12203	0.696107
ENSG00000226026	0.232073	1.13021	0.589987	1.49145	0.247722
ENSG00000226067	1.54694	0.218435	0.326261	1.52826	2.77527
ENSG00000226179	2.33789	8.97573	24.3443	16.6044	2.27748
ENSG00000226197	1.75897	0.644316	0.388971	0.377878	1.72172
ENSG00000226245	11.046	1.06769	0.242598	0.936774	16.2075
ENSG00000226251	10.3451	0.76474	0.350363	0	3.30032
ENSG00000226312	1.26472	6.08195	2.38231	6.18628	1.29473
ENSG00000226328	8.04883	2.12938	0.640702	0.780009	5.77162
ENSG00000226332	5.15323	1.05627	0	0.13318	5.60345
ENSG00000226403	10.6033	1.28429	0.218356	1.76912	12.9413
ENSG00000226419	0.347299	1.39231	1.2996	1.26622	1.01616
ENSG00000226471	2.11154	0.531604	0.192528	1.58005	2.04156
ENSG00000226482	0.265671	0.965524	0.389443	0.295414	0.039729
ENSG00000226605	0.471577	0.620281	1.15631	1.60387	0.50775
ENSG00000226686	3.90506	0.141903	0.352595	0.552691	1.11607
ENSG00000226688	3.05907	1.3927	0.654555	2.25041	2.18231
ENSG00000226696	1.72088	0.135701	0.694794	2.08375	1.44761
ENSG00000226706	2.13743	1.19536	0.38311	0.302447	2.69915
ENSG00000226711	0.920669	0.527293	0.407211	2.09391	0.783256
ENSG00000226752	3.99079	1.9043	1.64739	3.6557	2.51422
ENSG00000226803	1.55836	2.00789	0.71232	2.44202	0.950209
ENSG00000226824	0.832538	0.611947	0.557717	0.334907	0.579491
ENSG00000226833	5.06962	0.778894	1.05143	0.866034	0.703577
ENSG00000226853	6.82286	0.305974	0.836575	0.535851	4.84355
ENSG00000226890	0	0.396534	0	1.03691	1.09841
ENSG00000226900	29.1031	0.329005	1.48441	0.290176	14.1101
ENSG00000226950	45.9797	15.6297	4.66928	4.54685	45.4752
ENSG00000227028	0.0493321	6.39965	1.41382	9.2061	0.651218
ENSG00000227198	9.13638	2.29577	1.10397	0.810401	12.6319
ENSG00000227220	11.701	0.672972	0.203272	2.5642	5.75148
ENSG00000227279	10.3312	8.12285	2.85681	2.29957	9.42104
ENSG00000227372	12.1278	0.976791	0.667839	2.58944	11.7082
ENSG00000227487	1.11549	0.797018	0	0.0784102	0.626252
ENSG00000227544	1.38377	0	0.316907	0.207341	1.26438
ENSG00000227617	40.0909	2.65132	1.98053	2.38958	33.5728
ENSG00000227733	0.724152	0.359756	1.32096	2.64005	1.97878
ENSG00000227946	3.40772	0.402409	0.36235	0.409553	6.46129
ENSG00000228060	3.88859	1.76093	0.530821	1.55063	3.34949
ENSG00000228065	1.09361	1.50354	2.84536	2.679	0.858293
ENSG00000228106	3.37353	1.19595	0.234413	0.340704	4.62067
ENSG00000228109	1.9555	0	0	0.75681	3.09781
ENSG00000228113	1.26847	2.61195	1.29829	3.22882	1.49989
ENSG00000228170	6.88566	0.294536	0.663643	0.715009	6.13375
ENSG00000228172	6.65115	0.810003	0.485409	1.27087	7.79435
ENSG00000228192	2.15636	1.01067	1.13544	0.921089	1.76464
ENSG00000228242	1.89095	0.390976	0.466946	0.585661	2.8812
ENSG00000228274	3.90026	1.49979	1.18818	1.37304	3.97989
ENSG00000228275	1.64018	0.454595	0	0.599491	1.3942
ENSG00000228340	0.565802	0.221561	0.0894386	2.27854	0.259179
ENSG00000228434	0.62986	0.722768	0.79277	1.46094	0.828303
ENSG00000228436	3.37932	0.165775	0.475533	0.690681	4.19356
ENSG00000228463	0.71158	0.894694	0.558828	1.53451	2.24993
